,S0-Q1-yesno
 Take out the cake from the cake ring and sieve green tea powder on top and decorate as desired Pour balance mousse on top and level it evenly Refrigerate till mousse is set Pour half of the mousse filling onto the prepared cake ring and then top up with the other slice of green tea sponge cake,no
 Take out the cake from the cake ring and sieve green tea powder on top and decorate as desired Pour balance mousse on top and level it evenly Refrigerate till mousse is set,no
 Take out the cake from the cake ring and sieve green tea powder on top and decorate as desired,yes
,yes
 Into a small saucepan turn butter sugar light molasses and water Stir over moderate heat until sugar dissolves and mixture simmers Topping can be made in microwave Place all ingredients in bowl heat on high for 2 12 minutes stirring after every minute Bake in a preheated 350 degree oven until golden brown 25 to 30 minutes Immediately invert on cookie sheet or wire rack to cool Makes 24 Cover and let rise in a warm place until double in bulk 30 to 40 minutes Make up topping Divide this syrup between two greased 13x9 inch pans Sprinkle nuts over syrup Place 12 slices of dough cut sides down in each pan Starting at long side roll up jelly roll fashion punch edge to seal Cut into 12 pieces set aside Do same with second half of dough Divide dough in half On lightly floured surface roll out 12 to a 14x10 inch rectangle spread with 1 tablespoon of the soft butter and sprinkle with half the sugarcinnamon mixture Place dough in large greased bowl turn to grease top cover Let rise in a warm place until double in bulk 3040 minutes Turn out on lightly floured surface and knead until smooth and elastic 5 to 8 minutes using the remaining 12 cup flour to keep dough from sticking Add 3 cups of the flour and mix until smooth Gradually and thoroughly mix in 2 more cups of the flour dough will be soft In a large mixing bowl dissolve the yeast in the water whisk in milk mixture and eggs until blended,yes
 Into a small saucepan turn butter sugar light molasses and water Stir over moderate heat until sugar dissolves and mixture simmers Topping can be made in microwave Place all ingredients in bowl heat on high for 2 12 minutes stirring after every minute Bake in a preheated 350 degree oven until golden brown 25 to 30 minutes Immediately invert on cookie sheet or wire rack to cool Makes 24 Cover and let rise in a warm place until double in bulk 30 to 40 minutes Make up topping Divide this syrup between two greased 13x9 inch pans Sprinkle nuts over syrup Place 12 slices of dough cut sides down in each pan Starting at long side roll up jelly roll fashion punch edge to seal Cut into 12 pieces set aside Do same with second half of dough Divide dough in half On lightly floured surface roll out 12 to a 14x10 inch rectangle spread with 1 tablespoon of the soft butter and sprinkle with half the sugarcinnamon mixture Place dough in large greased bowl turn to grease top cover Let rise in a warm place until double in bulk 3040 minutes Turn out on lightly floured surface and knead until smooth and elastic 5 to 8 minutes using the remaining 12 cup flour to keep dough from sticking Add 3 cups of the flour and mix until smooth Gradually and thoroughly mix in 2 more cups of the flour dough will be soft,yes
 Into a small saucepan turn butter sugar light molasses and water Stir over moderate heat until sugar dissolves and mixture simmers Topping can be made in microwave Place all ingredients in bowl heat on high for 2 12 minutes stirring after every minute Bake in a preheated 350 degree oven until golden brown 25 to 30 minutes Immediately invert on cookie sheet or wire rack to cool Makes 24 Cover and let rise in a warm place until double in bulk 30 to 40 minutes Make up topping Divide this syrup between two greased 13x9 inch pans Sprinkle nuts over syrup Place 12 slices of dough cut sides down in each pan Starting at long side roll up jelly roll fashion punch edge to seal Cut into 12 pieces set aside Do same with second half of dough Divide dough in half On lightly floured surface roll out 12 to a 14x10 inch rectangle spread with 1 tablespoon of the soft butter and sprinkle with half the sugarcinnamon mixture Place dough in large greased bowl turn to grease top cover Let rise in a warm place until double in bulk 3040 minutes Turn out on lightly floured surface and knead until smooth and elastic 5 to 8 minutes using the remaining 12 cup flour to keep dough from sticking,yes
 Into a small saucepan turn butter sugar light molasses and water Stir over moderate heat until sugar dissolves and mixture simmers Topping can be made in microwave Place all ingredients in bowl heat on high for 2 12 minutes stirring after every minute Bake in a preheated 350 degree oven until golden brown 25 to 30 minutes Immediately invert on cookie sheet or wire rack to cool Makes 24 Cover and let rise in a warm place until double in bulk 30 to 40 minutes Make up topping Divide this syrup between two greased 13x9 inch pans Sprinkle nuts over syrup Place 12 slices of dough cut sides down in each pan Starting at long side roll up jelly roll fashion punch edge to seal Cut into 12 pieces set aside Do same with second half of dough Divide dough in half On lightly floured surface roll out 12 to a 14x10 inch rectangle spread with 1 tablespoon of the soft butter and sprinkle with half the sugarcinnamon mixture Place dough in large greased bowl turn to grease top cover Let rise in a warm place until double in bulk 3040 minutes,yes
 Into a small saucepan turn butter sugar light molasses and water Stir over moderate heat until sugar dissolves and mixture simmers Topping can be made in microwave Place all ingredients in bowl heat on high for 2 12 minutes stirring after every minute Bake in a preheated 350 degree oven until golden brown 25 to 30 minutes Immediately invert on cookie sheet or wire rack to cool Makes 24 Cover and let rise in a warm place until double in bulk 30 to 40 minutes Make up topping Divide this syrup between two greased 13x9 inch pans Sprinkle nuts over syrup Place 12 slices of dough cut sides down in each pan Starting at long side roll up jelly roll fashion punch edge to seal Cut into 12 pieces set aside Do same with second half of dough Divide dough in half On lightly floured surface roll out 12 to a 14x10 inch rectangle spread with 1 tablespoon of the soft butter and sprinkle with half the sugarcinnamon mixture,yes
 Into a small saucepan turn butter sugar light molasses and water Stir over moderate heat until sugar dissolves and mixture simmers Topping can be made in microwave Place all ingredients in bowl heat on high for 2 12 minutes stirring after every minute Bake in a preheated 350 degree oven until golden brown 25 to 30 minutes Immediately invert on cookie sheet or wire rack to cool Makes 24 Cover and let rise in a warm place until double in bulk 30 to 40 minutes Make up topping Divide this syrup between two greased 13x9 inch pans Sprinkle nuts over syrup Place 12 slices of dough cut sides down in each pan Starting at long side roll up jelly roll fashion punch edge to seal Cut into 12 pieces set aside Do same with second half of dough,yes
 Into a small saucepan turn butter sugar light molasses and water Stir over moderate heat until sugar dissolves and mixture simmers Topping can be made in microwave Place all ingredients in bowl heat on high for 2 12 minutes stirring after every minute Bake in a preheated 350 degree oven until golden brown 25 to 30 minutes Immediately invert on cookie sheet or wire rack to cool Makes 24 Cover and let rise in a warm place until double in bulk 30 to 40 minutes Make up topping Divide this syrup between two greased 13x9 inch pans Sprinkle nuts over syrup Place 12 slices of dough cut sides down in each pan,yes
 Into a small saucepan turn butter sugar light molasses and water Stir over moderate heat until sugar dissolves and mixture simmers Topping can be made in microwave Place all ingredients in bowl heat on high for 2 12 minutes stirring after every minute Bake in a preheated 350 degree oven until golden brown 25 to 30 minutes Immediately invert on cookie sheet or wire rack to cool Makes 24 Cover and let rise in a warm place until double in bulk 30 to 40 minutes,yes
 Into a small saucepan turn butter sugar light molasses and water Stir over moderate heat until sugar dissolves and mixture simmers Topping can be made in microwave Place all ingredients in bowl heat on high for 2 12 minutes stirring after every minute Bake in a preheated 350 degree oven until golden brown 25 to 30 minutes Immediately invert on cookie sheet or wire rack to cool Makes 24,yes
 Into a small saucepan turn butter sugar light molasses and water Stir over moderate heat until sugar dissolves and mixture simmers Topping can be made in microwave Place all ingredients in bowl heat on high for 2 12 minutes stirring after every minute,yes
,yes
 Comments Make the Poppy Seed Pastries in advance and store them in the freezer At serving time just defrost them they will stay crisp and everyone will think they were freshly baked Make extra pastries to follow the Purim tradition of sharing shalach manos and give a basket of these delicious confections as gifts to family and friends This recipe yields 24 pastries Brush top with egg yolk mixture Bake at 350 degrees until golden brown about 45 minutes While hot cut into 24 squares Cool in pan To freeze wrap each pastry in plastic wrap then foil Store in resealable plastic bags in freezer Pipe half filling onto pastry or can be spread using spoon Spread poppy seed filling evenly over sheet of dough Cover with second sheet of dough and sprinkle with 1 cup walnut filling Arrange sheet of dough on top and repeat with layer of poppy seed filling Top with remaining sheet of dough Cover with kitchen towel and let stand 30 minutes Roll each disc of dough into thin sheet large enough to fit into a 13 by 9inch baking dish Trim each sheet dough to fit dish Reserve trimmings for Poppy Seed Strudel if desired Arrange 1 sheet dough in bottom of baking dish Spoon poppy seed filling into pastry bag Blend sugar and nuts in small bowl Set aside Transfer dough to floured board divide dough into 4 parts Knead each part into flat disc then wrap in plastic wrap and refrigerate 1 hour Blend flour baking powder salt and lemon zest in large bowl of electric mixer Add butter and blend until mixture is crumbly Beat egg egg yolk and vanilla in small bowl Add to flour mixture alternately with milk mixture and blend until dough comes together,yes
 Comments Make the Poppy Seed Pastries in advance and store them in the freezer At serving time just defrost them they will stay crisp and everyone will think they were freshly baked Make extra pastries to follow the Purim tradition of sharing shalach manos and give a basket of these delicious confections as gifts to family and friends This recipe yields 24 pastries Brush top with egg yolk mixture Bake at 350 degrees until golden brown about 45 minutes While hot cut into 24 squares Cool in pan To freeze wrap each pastry in plastic wrap then foil Store in resealable plastic bags in freezer Pipe half filling onto pastry or can be spread using spoon Spread poppy seed filling evenly over sheet of dough Cover with second sheet of dough and sprinkle with 1 cup walnut filling Arrange sheet of dough on top and repeat with layer of poppy seed filling Top with remaining sheet of dough Cover with kitchen towel and let stand 30 minutes Roll each disc of dough into thin sheet large enough to fit into a 13 by 9inch baking dish Trim each sheet dough to fit dish Reserve trimmings for Poppy Seed Strudel if desired Arrange 1 sheet dough in bottom of baking dish Spoon poppy seed filling into pastry bag Blend sugar and nuts in small bowl Set aside Transfer dough to floured board divide dough into 4 parts Knead each part into flat disc then wrap in plastic wrap and refrigerate 1 hour,yes
 Comments Make the Poppy Seed Pastries in advance and store them in the freezer At serving time just defrost them they will stay crisp and everyone will think they were freshly baked Make extra pastries to follow the Purim tradition of sharing shalach manos and give a basket of these delicious confections as gifts to family and friends This recipe yields 24 pastries Brush top with egg yolk mixture Bake at 350 degrees until golden brown about 45 minutes While hot cut into 24 squares Cool in pan To freeze wrap each pastry in plastic wrap then foil Store in resealable plastic bags in freezer Pipe half filling onto pastry or can be spread using spoon Spread poppy seed filling evenly over sheet of dough Cover with second sheet of dough and sprinkle with 1 cup walnut filling Arrange sheet of dough on top and repeat with layer of poppy seed filling Top with remaining sheet of dough Cover with kitchen towel and let stand 30 minutes Roll each disc of dough into thin sheet large enough to fit into a 13 by 9inch baking dish Trim each sheet dough to fit dish Reserve trimmings for Poppy Seed Strudel if desired Arrange 1 sheet dough in bottom of baking dish Spoon poppy seed filling into pastry bag Blend sugar and nuts in small bowl Set aside,yes
 Comments Make the Poppy Seed Pastries in advance and store them in the freezer At serving time just defrost them they will stay crisp and everyone will think they were freshly baked Make extra pastries to follow the Purim tradition of sharing shalach manos and give a basket of these delicious confections as gifts to family and friends This recipe yields 24 pastries Brush top with egg yolk mixture Bake at 350 degrees until golden brown about 45 minutes While hot cut into 24 squares Cool in pan To freeze wrap each pastry in plastic wrap then foil Store in resealable plastic bags in freezer Pipe half filling onto pastry or can be spread using spoon Spread poppy seed filling evenly over sheet of dough Cover with second sheet of dough and sprinkle with 1 cup walnut filling Arrange sheet of dough on top and repeat with layer of poppy seed filling Top with remaining sheet of dough Cover with kitchen towel and let stand 30 minutes Roll each disc of dough into thin sheet large enough to fit into a 13 by 9inch baking dish Trim each sheet dough to fit dish Reserve trimmings for Poppy Seed Strudel if desired Arrange 1 sheet dough in bottom of baking dish,no
 Comments Make the Poppy Seed Pastries in advance and store them in the freezer At serving time just defrost them they will stay crisp and everyone will think they were freshly baked Make extra pastries to follow the Purim tradition of sharing shalach manos and give a basket of these delicious confections as gifts to family and friends This recipe yields 24 pastries Brush top with egg yolk mixture Bake at 350 degrees until golden brown about 45 minutes While hot cut into 24 squares Cool in pan To freeze wrap each pastry in plastic wrap then foil Store in resealable plastic bags in freezer Pipe half filling onto pastry or can be spread using spoon Spread poppy seed filling evenly over sheet of dough Cover with second sheet of dough and sprinkle with 1 cup walnut filling Arrange sheet of dough on top and repeat with layer of poppy seed filling Top with remaining sheet of dough Cover with kitchen towel and let stand 30 minutes,yes
 Comments Make the Poppy Seed Pastries in advance and store them in the freezer At serving time just defrost them they will stay crisp and everyone will think they were freshly baked Make extra pastries to follow the Purim tradition of sharing shalach manos and give a basket of these delicious confections as gifts to family and friends This recipe yields 24 pastries Brush top with egg yolk mixture Bake at 350 degrees until golden brown about 45 minutes While hot cut into 24 squares Cool in pan To freeze wrap each pastry in plastic wrap then foil Store in resealable plastic bags in freezer,yes
 Comments Make the Poppy Seed Pastries in advance and store them in the freezer At serving time just defrost them they will stay crisp and everyone will think they were freshly baked Make extra pastries to follow the Purim tradition of sharing shalach manos and give a basket of these delicious confections as gifts to family and friends This recipe yields 24 pastries,yes
 Comments Make the Poppy Seed Pastries in advance and store them in the freezer At serving time just defrost them they will stay crisp and everyone will think they were freshly baked Make extra pastries to follow the Purim tradition of sharing shalach manos and give a basket of these delicious confections as gifts to family and friends,no
,yes
 Remove from the oven and toss with coarse salt Cool,yes
,yes
  If made ahead bring to room temperature heat for 25 minutes  Top with marshmallows if desired and bake another 10 minutes or until marshmallows are browned Serve hot Place in 2 quart buttered baking dish sprinkle with marshmallows if desired and bake in oven at 375º for 1520 minutes or until heated through and marshmallows are browned To the mashed potatoes add salt butter egg tea infused cream Beat until smooth While potatoes are cooking heat cream add tea bags and remove from heat Let steep for 5 minutes,no
  If made ahead bring to room temperature heat for 25 minutes  Top with marshmallows if desired and bake another 10 minutes or until marshmallows are browned Serve hot Place in 2 quart buttered baking dish sprinkle with marshmallows if desired and bake in oven at 375º for 1520 minutes or until heated through and marshmallows are browned To the mashed potatoes add salt butter egg tea infused cream Beat until smooth,no
  If made ahead bring to room temperature heat for 25 minutes  Top with marshmallows if desired and bake another 10 minutes or until marshmallows are browned Serve hot Place in 2 quart buttered baking dish sprinkle with marshmallows if desired and bake in oven at 375º for 1520 minutes or until heated through and marshmallows are browned,no
  If made ahead bring to room temperature heat for 25 minutes  Top with marshmallows if desired and bake another 10 minutes or until marshmallows are browned Serve hot,no
  If made ahead bring to room temperature heat for 25 minutes  Top with marshmallows if desired and bake another 10 minutes or until marshmallows are browned,no
,no
 Bake uncovered for 30 minutes until bubbly and lightly browned Heat butter or oil in a sauce pan until melted Add flour or corn starch and stir over low heat until combined Add coconut milk cook and stir until slightly thickened Add feta and remaining leeks to sauce and pour over prepared enchiladas Spoon 14 cup of pumpkin mixture into each flour tortilla and roll Place seam side down in a 9X13 baking dish Slice and thoroughly wash leek white portion only Sautée in oil until soft Save 12 cup of leeks for topping Add spices pumpkin seeds and chopped kale and cook 2 minutes more Combine with pumpkin,no
 Bake uncovered for 30 minutes until bubbly and lightly browned Heat butter or oil in a sauce pan until melted Add flour or corn starch and stir over low heat until combined Add coconut milk cook and stir until slightly thickened Add feta and remaining leeks to sauce and pour over prepared enchiladas Spoon 14 cup of pumpkin mixture into each flour tortilla and roll Place seam side down in a 9X13 baking dish,no
 Bake uncovered for 30 minutes until bubbly and lightly browned Heat butter or oil in a sauce pan until melted Add flour or corn starch and stir over low heat until combined Add coconut milk cook and stir until slightly thickened Add feta and remaining leeks to sauce and pour over prepared enchiladas,no
 Bake uncovered for 30 minutes until bubbly and lightly browned,no
,no
 Salt and pepper to taste Cool and toss with remaining ingredients,yes
 Salt and pepper to taste,yes
,no
 Bake 30 minutes for mini loaf pans and 40  50 minutes for large loaf pan or until golden brown and toothpick inserted in center comes out clean Cool 5 minutes remove from pan to wire rack Cool 30 minutes before slicing if you can control yourself Pour into pan drizzle melted butter over top of bread Bread will be thick flatten it out with your fingers Stir together flourscheese baking powder basil and salt in medium bowl Add olive oil egg and milk stir till combined Fold in sundried tomatoes,no
 Bake 30 minutes for mini loaf pans and 40  50 minutes for large loaf pan or until golden brown and toothpick inserted in center comes out clean Cool 5 minutes remove from pan to wire rack Cool 30 minutes before slicing if you can control yourself Pour into pan drizzle melted butter over top of bread Bread will be thick flatten it out with your fingers,no
 Bake 30 minutes for mini loaf pans and 40  50 minutes for large loaf pan or until golden brown and toothpick inserted in center comes out clean Cool 5 minutes remove from pan to wire rack Cool 30 minutes before slicing if you can control yourself,no
,no
 Cut the onion in slices Prepare a vegetable stock and keep it aside Rinsed the Basmati rice for the twice and soaked for 20 mins,yes
 Cut the onion in slices Prepare a vegetable stock and keep it aside,yes
 Cut the onion in slices,yes
,no
,no
 Troth Wells The World in Your Kitchen Arrange the stuffed beancurdtofu cakes on a dish garnished with slices of cucumber and fresh cilantro leaves and pass the peanut sauce separately For the sauce pound or blend the chilis and garlic together Then add the soy sauce vinegar and salt Next put in the ground peanuts and add the water a little at a time Stir to make a smooth coating sauce After that mix the bean sprouts and cucumber in a bowl and season well before filling the beancurdtofu pouches Then cut each cake into 2 pieces and make a deep slit across the center to form a pocket Heat enough oil about 2 inches5 cms deep in a wok or pan to deepfry the beancurdtofu cakes until they are slightly brown Lift them out and let them cool,yes
 Troth Wells The World in Your Kitchen Arrange the stuffed beancurdtofu cakes on a dish garnished with slices of cucumber and fresh cilantro leaves and pass the peanut sauce separately For the sauce pound or blend the chilis and garlic together Then add the soy sauce vinegar and salt Next put in the ground peanuts and add the water a little at a time Stir to make a smooth coating sauce After that mix the bean sprouts and cucumber in a bowl and season well before filling the beancurdtofu pouches Then cut each cake into 2 pieces and make a deep slit across the center to form a pocket,yes
 Troth Wells The World in Your Kitchen Arrange the stuffed beancurdtofu cakes on a dish garnished with slices of cucumber and fresh cilantro leaves and pass the peanut sauce separately For the sauce pound or blend the chilis and garlic together Then add the soy sauce vinegar and salt Next put in the ground peanuts and add the water a little at a time Stir to make a smooth coating sauce After that mix the bean sprouts and cucumber in a bowl and season well before filling the beancurdtofu pouches,no
 Troth Wells The World in Your Kitchen Arrange the stuffed beancurdtofu cakes on a dish garnished with slices of cucumber and fresh cilantro leaves and pass the peanut sauce separately For the sauce pound or blend the chilis and garlic together Then add the soy sauce vinegar and salt Next put in the ground peanuts and add the water a little at a time Stir to make a smooth coating sauce,no
 Troth Wells The World in Your Kitchen Arrange the stuffed beancurdtofu cakes on a dish garnished with slices of cucumber and fresh cilantro leaves and pass the peanut sauce separately,yes
 Troth Wells The World in Your Kitchen,no
,no
 Serve at Iftar during Ramadan or eat as an afternoon snack after ramadan Delicious Palak Pakora are ready Heat oil in a Karahi dip palak leaves in besan bater and fry till crispy and done,yes
 Serve at Iftar during Ramadan or eat as an afternoon snack after ramadan Delicious Palak Pakora are ready,yes
 Serve at Iftar during Ramadan or eat as an afternoon snack after ramadan,yes
,yes
,yes
 Pour the dressing over the zucchini mix all together arrange on a plate and enjoy Put all other ingredients in a blender and blend until smoooth adding more olive oil if necessary to produce a runnier dressing,yes
 Pour the dressing over the zucchini mix all together arrange on a plate and enjoy,yes
,yes
 This recipe yields 6 servings Remove from heat and strain through a fine sieve into a bowl over ice Stir in rum and cover tightly so skin does not form while it is cooling Makes approximately 2 cups In a bowl whisk egg yolks and sugar until thick and light in color then temper with hot milk Pour mixture back into the pot and gently stirring constantly with a wooden spoon until custard thickens slightly Dark Rum Creme Anglaise To a saucepan add milk scrape vanilla bean seeds into milk and add the pod Bring almost to a boil Remove from heat and allow bean to infuse for 10 minutes then remove the bean Grease 6 2 12inch by 2uinch tall ring molds and wrap the bottoms with foil Spoon bread pudding mixture into mold 12 way then press 1 chunk of chocolate into the center then continue to fill to the top Bake in a 325 degree oven until it is set and brown about 35 to 40 minutes Serve with Dark Rum Creme Anglaise In another bowl mash up 1 banana and add to custard pour over the bread and allow to soak for 15 minutes Dice up the other banana and fold into bread pudding mixture,yes
 This recipe yields 6 servings Remove from heat and strain through a fine sieve into a bowl over ice Stir in rum and cover tightly so skin does not form while it is cooling Makes approximately 2 cups In a bowl whisk egg yolks and sugar until thick and light in color then temper with hot milk Pour mixture back into the pot and gently stirring constantly with a wooden spoon until custard thickens slightly Dark Rum Creme Anglaise To a saucepan add milk scrape vanilla bean seeds into milk and add the pod Bring almost to a boil Remove from heat and allow bean to infuse for 10 minutes then remove the bean Grease 6 2 12inch by 2uinch tall ring molds and wrap the bottoms with foil Spoon bread pudding mixture into mold 12 way then press 1 chunk of chocolate into the center then continue to fill to the top Bake in a 325 degree oven until it is set and brown about 35 to 40 minutes Serve with Dark Rum Creme Anglaise,yes
 This recipe yields 6 servings Remove from heat and strain through a fine sieve into a bowl over ice Stir in rum and cover tightly so skin does not form while it is cooling Makes approximately 2 cups In a bowl whisk egg yolks and sugar until thick and light in color then temper with hot milk Pour mixture back into the pot and gently stirring constantly with a wooden spoon until custard thickens slightly Dark Rum Creme Anglaise To a saucepan add milk scrape vanilla bean seeds into milk and add the pod Bring almost to a boil Remove from heat and allow bean to infuse for 10 minutes then remove the bean,yes
 This recipe yields 6 servings Remove from heat and strain through a fine sieve into a bowl over ice Stir in rum and cover tightly so skin does not form while it is cooling Makes approximately 2 cups In a bowl whisk egg yolks and sugar until thick and light in color then temper with hot milk Pour mixture back into the pot and gently stirring constantly with a wooden spoon until custard thickens slightly,yes
 This recipe yields 6 servings Remove from heat and strain through a fine sieve into a bowl over ice Stir in rum and cover tightly so skin does not form while it is cooling Makes approximately 2 cups,yes
 This recipe yields 6 servings,yes
,no
 Serve hot Sprinkle with lemon zest to taste garnish with mint or cilantro sprigs Bring to a boil over mediumhigh heat cover reduce the heat to low and simmer until the potatoes are tender about 30 minutes Stir in salt and pepper to taste Just before serving stir in the chopped mint or cilantro Add the potato slices tomatoes stock or broth and lemon zest and juice,yes
 Serve hot Sprinkle with lemon zest to taste garnish with mint or cilantro sprigs Bring to a boil over mediumhigh heat cover reduce the heat to low and simmer until the potatoes are tender about 30 minutes Stir in salt and pepper to taste Just before serving stir in the chopped mint or cilantro,yes
 Serve hot Sprinkle with lemon zest to taste garnish with mint or cilantro sprigs,yes
 Serve hot,yes
,yes
,no
 Pour mixture in a bowl and cover the surface with plastic wrap to prevent a skin from forming Chill at least 2 hours before serving do not stir,yes
,yes
 Heat a large pan over mediumhigh heat and in batches cook each sandwich until golden brown pressing down with a spatula Flip the sandwiches and cook the second side until brown about 30 seconds Keep warm in the oven,no
,no
 Serve them up with a little grated Parmesan or Romano over the top Drain your cooked up ravioli dump them in the butter sauce and get them good and coated Now drop in your chopped basil give it a swirl or two to let the basil wilt and your butter sauce is ready to rumble Grab another pan drop the butter into it and cook it on medium until it turns a beautiful golden brown and gives off a lovely nutty smell At this point youll turn the heat down just a notch and add in your garlic Grab a pot fill it up with water and set it to boil The pasta will cook up quick it will float when cooked Brush the edges with an egg wash the egg white from one egg and place another pasta piece over the top Seal the edges with your fingers a fork or whatever puts a smile on your face After you have your ravioli cut out youll drop a good teaspoonful of the prosciutto mixture into the center of the pasta If you have a ravioli cutter you can use that or you can use a glass to cut circles or you can do like we did and use a cookie cutter to make fun shapes celebrating the holiday Rip off about a sixth of the ball and run it through your pasta maker or hand roll it to the desired thinness Now its time to grab your well rested pasta dough and pop out some ravioli Let the spinach wilt down completely and then remove the mixture from the heat Let it cook up for a minute or two and then add in the salt and oregano Give it a swirl or two around the pan to mix in and then add in your spinach Next well add in the proscuitto onions and mushrooms While your dough is resting lets whip up the tasty filling Grab your skillet and heat up the butter on medium heat Now add in the garlic Cover your ball of pasta dough with plastic wrap and let it rest for a good twenty minutes Run the processor and mix the ingredients up well If the dough looks like pebbles its a touch too dry Add about 121 tsp of water and mix again It should form a nice ball of dough Once your dough is mixed bring it out of the processor and knead it for a few minutes,yes
